n,pos_simd_ns,neg_scalar_ns,pos_simd_ns_per_limb,neg_scalar_ns_per_limb,neg_over_pos
3184,393.486140,1291.943921,0.123582330,0.405761282,3.283328
3192,382.279345,1288.074486,0.119761699,0.403532107,3.369459
3200,394.447479,1296.417808,0.123264837,0.405130565,3.286668
3208,393.155335,1296.807363,0.122554655,0.404241697,3.298461
3216,396.111814,1301.502997,0.123169097,0.404696205,3.285696
3224,393.853426,1302.987413,0.122162973,0.404152423,3.308305
3232,393.713651,1312.153646,0.121817342,0.405988133,3.332761
3240,399.641356,1309.410590,0.123346098,0.404139071,3.276464
3248,396.407173,1313.385851,0.122046543,0.404367565,3.313224
3256,396.871308,1317.513455,0.121889222,0.404641724,3.319750
3264,405.040679,1319.097656,0.124093345,0.404135311,3.256704
3272,400.207713,1326.083627,0.122312871,0.405282282,3.313488
3280,401.090011,1327.900968,0.122283540,0.404847856,3.310731
3288,403.931330,1334.639965,0.122850161,0.405912398,3.304126
3296,404.250000,1333.574384,0.122648665,0.404603879,3.298885
3304,404.877694,1335.383363,0.122541675,0.404171720,3.298239
3312,405.310075,1342.072321,0.122376231,0.405215073,3.311224
3320,405.636045,1344.714732,0.122179532,0.405034558,3.315077
3328,410.262282,1345.312946,0.123275926,0.404240669,3.279153
3336,407.620536,1348.679018,0.122188410,0.404280281,3.308663
3344,410.580240,1352.081250,0.122781172,0.404330517,3.293099
3352,409.414847,1356.063393,0.122140468,0.404553518,3.312199
3360,414.815804,1359.539402,0.123457085,0.404624822,3.277453
3368,415.556139,1361.658514,0.123383652,0.404292908,3.276714
3376,414.574890,1368.356431,0.122800619,0.405318848,3.300625
3384,414.986449,1365.965580,0.122631929,0.403654131,3.291591
3392,414.171531,1370.928895,0.122102456,0.404165358,3.310051
3400,414.874585,1375.543931,0.122021937,0.404571744,3.315566
3408,415.304480,1375.580163,0.121861643,0.403632677,3.312221
3416,416.388551,1378.636775,0.121893604,0.403582194,3.310938
3424,418.621931,1382.101103,0.122261078,0.403651023,3.301550
3432,419.611049,1388.787684,0.122264292,0.404658416,3.309702
3440,426.175142,1390.469669,0.123888123,0.404206299,3.262672
3448,422.238229,1394.775276,0.122458883,0.404517191,3.303290
3456,426.314347,1395.896599,0.123354846,0.403905266,3.274336
3464,425.483880,1401.456623,0.122830219,0.404577547,3.293795
3472,425.770928,1404.114739,0.122629875,0.404410927,3.297817
3480,434.505498,1407.892724,0.124857902,0.404566875,3.240218
3488,433.305300,1410.434235,0.124227437,0.404367613,3.255059
3496,427.483239,1418.083489,0.122277814,0.405630289,3.317284
3504,433.133929,1418.470616,0.123611281,0.404814673,3.274901
3512,429.644977,1418.979011,0.122336269,0.404037304,3.302678
3520,431.426606,1423.140152,0.122564377,0.404301179,3.298684
