n,scalar_cycles_per_limb,auto_cycles_per_limb,hand_cycles_per_limb,auto_speedup,hand_speedup,hand_vs_auto
97,4.240611,1.275773,0.730854,3.323954,5.802267,1.745592
98,4.232235,1.265982,0.724736,3.343044,5.839695,1.746819
99,4.247044,1.253695,0.716001,3.387620,5.931613,1.750968
100,4.266667,1.244444,0.710185,3.428571,6.007823,1.752282
101,4.246425,1.234873,0.704070,3.438753,6.031250,1.753906
102,4.247243,1.223346,0.711397,3.471826,5.970284,1.719638
103,4.266622,1.273811,0.732764,3.349493,5.822642,1.738365
104,4.279771,1.331361,0.738720,3.214583,5.793492,1.802253
105,4.275641,1.318681,0.759158,3.242361,5.632087,1.737033
106,4.268255,1.306665,0.833435,3.266526,5.121279,1.567806
107,4.274779,1.296729,0.934272,3.296586,4.575518,1.387957
108,4.278704,1.287037,1.023148,3.324460,4.181900,1.257919
109,4.294495,2.232110,1.855963,1.923962,2.313890,1.202669
110,4.280713,1.265971,1.078931,3.381368,3.967549,1.173356
111,4.284524,1.273602,1.116253,3.364099,3.838308,1.140962
112,4.301309,1.364053,1.129220,3.153329,3.809098,1.207961
113,4.302176,1.351401,1.174410,3.183492,3.663265,1.150706
