n,scalar_ns,simd_ns,scalar_ns_per_limb,simd_ns_per_limb,speedup
3176,1294.445205,934.234220,0.407570909,0.294154351,1.385568
3184,1296.273116,938.345312,0.407120954,0.294706442,1.381446
3192,1299.894692,940.732813,0.407235179,0.294715793,1.381789
3200,1306.039062,944.157812,0.408137207,0.295049316,1.383285
3208,1311.660156,945.723438,0.408871620,0.294801570,1.386938
3216,1312.558160,947.984533,0.408133756,0.294771310,1.384578
3224,1314.455295,949.928977,0.407709459,0.294642983,1.383741
3232,1318.313368,953.192866,0.407893988,0.294923535,1.383050
3240,1320.314236,954.167929,0.407504394,0.294496274,1.383734
3248,1324.562060,957.584503,0.407808516,0.294822815,1.383233
3256,1304.602865,967.253544,0.400676555,0.297068042,1.348770
3264,1300.032106,971.963595,0.398294150,0.297782964,1.337532
3272,1305.605469,973.838273,0.399023676,0.297627834,1.340680
3280,1308.213976,977.394531,0.398845724,0.297986138,1.338471
3288,1311.594618,978.520508,0.398903473,0.297603561,1.340385
3296,1315.275174,982.234701,0.399051934,0.298008101,1.339064
3304,1316.221354,984.701823,0.398372081,0.298033239,1.336670
3312,1321.582306,987.673026,0.399028474,0.298210455,1.338077
3320,1322.282130,988.192434,0.398277750,0.297648324,1.338082
3328,1327.150088,991.800987,0.398783079,0.298017123,1.338121
3336,1331.124120,997.997008,0.399018021,0.299159775,1.333796
3344,1334.011884,997.053947,0.398926999,0.298162066,1.337954
3352,1336.348592,998.532247,0.398672014,0.297891482,1.338313
3360,1341.854911,1002.195811,0.399361581,0.298272563,1.338915
3368,1345.618304,1003.974069,0.399530375,0.298092063,1.340292
3376,1347.252232,1008.526546,0.399067604,0.298734166,1.335862
3384,1350.077679,1007.065824,0.398959125,0.297596284,1.340605
3392,1356.193750,1011.927083,0.399821271,0.298327560,1.340209
3400,1349.551339,1016.836358,0.396926864,0.299069517,1.327206
3408,1360.944293,1017.639449,0.399338114,0.298603125,1.337354
3416,1364.458786,1018.546371,0.399431729,0.298169312,1.339614
3424,1366.600543,1029.756793,0.399123991,0.300746727,1.327110
3432,1385.323989,1039.486264,0.403649181,0.302880613,1.332701
3440,1390.222426,1029.913383,0.404134426,0.299393425,1.349844
3448,1380.723805,1028.714334,0.400441939,0.298351025,1.342184
3456,1380.544577,1034.318338,0.399463130,0.299281926,1.334739
3464,1392.198989,1043.338542,0.401905020,0.301194729,1.334369
3472,1409.470149,1054.650632,0.405953384,0.303758823,1.336433
3480,1414.055037,1053.621840,0.406337654,0.302764897,1.342090
3488,1418.014925,1059.060744,0.406540976,0.303629801,1.338936
3496,1422.606534,1060.240520,0.406924066,0.303272460,1.341777
3504,1425.248580,1067.562145,0.406749024,0.304669562,1.335050
3512,1438.856061,1074.454545,0.409697056,0.305938082,1.339150
3520,1446.002404,1083.094109,0.410796137,0.307697190,1.335066
3528,1454.607692,1084.660560,0.412303768,0.307443469,1.341072
3536,1452.685096,1080.971624,0.410827233,0.305704645,1.343870
3544,1448.343750,1075.352983,0.408674873,0.303429171,1.346854
3552,1432.298295,1069.355469,0.403237133,0.301057283,1.339403
3560,1432.994792,1070.580611,0.402526627,0.300724891,1.338521
3568,1438.231534,1074.166903,0.403091798,0.301055746,1.338927
3576,1446.963462,1074.198864,0.404631840,0.300391181,1.347016
3584,1464.938965,1077.760417,0.408744131,0.300714402,1.359244
3592,1460.732692,1068.858310,0.406662776,0.297566345,1.366629
3600,1462.006731,1074.653409,0.406112981,0.298514836,1.360445
3608,1467.707520,1072.906605,0.406792550,0.297368793,1.367973
3616,1469.079590,1079.904813,0.406272010,0.298646243,1.360379
3624,1474.518555,1079.825790,0.406875981,0.297965174,1.365515
3632,1478.468750,1083.762572,0.407067387,0.298392779,1.364200
3640,1480.407227,1082.361710,0.406705282,0.297352118,1.367756
3648,1461.150962,1064.159059,0.400534803,0.291710268,1.373057
3656,1470.866699,1064.829705,0.402315837,0.291255390,1.381316
