an,bn,ratio,gmp_ns,simd_ns,speedup
22,14,0.6500,94.9,37.0,2.5648
22,18,0.8000,122.0,41.9,2.9134
22,22,1.0000,151.8,45.3,3.3480
23,3,0.1250,21.2,21.9,0.9687
23,5,0.2000,35.4,27.3,1.2981
23,6,0.2500,42.6,27.8,1.5332
23,8,0.3333,56.8,31.3,1.8154
23,9,0.4000,64.0,31.1,2.0546
23,12,0.5000,85.2,35.6,2.3944
23,15,0.6500,106.5,37.1,2.8662
23,18,0.8000,127.8,42.7,2.9937
23,23,1.0000,168.2,49.1,3.4261
24,3,0.1250,22.0,25.0,0.8794
24,5,0.2000,36.9,27.5,1.3420
24,6,0.2500,44.4,27.7,1.5990
24,8,0.3333,59.1,29.9,1.9719
24,10,0.4000,73.9,34.9,2.1146
24,12,0.5000,88.7,36.6,2.4256
24,16,0.6500,118.0,40.5,2.9129
24,19,0.8000,139.9,44.2,3.1646
24,24,1.0000,181.5,50.8,3.5706
25,3,0.1250,22.9,25.1,0.9098
25,5,0.2000,38.3,27.4,1.3990
25,6,0.2500,45.9,27.8,1.6501
25,8,0.3333,61.1,31.8,1.9207
25,10,0.4000,76.3,35.0,2.1811
25,13,0.5000,99.2,37.5,2.6452
25,16,0.6500,122.1,40.9,2.9877
25,20,0.8000,153.0,44.2,3.4626
25,25,1.0000,196.3,52.6,3.7348
26,3,0.1250,23.8,24.6,0.9677
26,5,0.2000,39.5,26.9,1.4682
26,7,0.2500,55.6,31.4,1.7694
26,9,0.3333,71.5,34.1,2.0980
26,10,0.4000,79.5,35.1,2.2653
26,13,0.5000,103.2,37.2,2.7732
