n,current_add_ns,stream_add_ns,current_sub_ns,stream_sub_ns,current_add_ns_per_limb,stream_add_ns_per_limb,current_sub_ns_per_limb,stream_sub_ns_per_limb,reps
215,29.359305033,32.732462419,27.991400932,30.233249731,0.136554907131,0.152244011253,0.130192562472,0.140619766192,5581
216,29.056515479,30.491635186,27.685508551,30.266558675,0.134520904994,0.141164977714,0.128173650698,0.140122956830,5555
217,29.278561099,33.973807803,28.073699422,31.361844485,0.134924244696,0.156561326283,0.129371886737,0.144524628961,5529
218,29.605994550,33.952804502,28.401561932,31.311502177,0.135807314451,0.155746809641,0.130282394185,0.143630743932,5504
219,29.879927007,46.557218471,45.006383367,30.911973756,0.136438022864,0.212590038678,0.205508599848,0.141150565097,5479
220,30.239273927,33.485065054,28.751190040,31.024734335,0.137451245125,0.152204841155,0.130687227456,0.141021519704,5454
221,30.577716390,33.621114585,28.665255797,30.905077263,0.138360707649,0.152131740205,0.129707039805,0.139841978564,5429
222,30.188899167,33.461182994,28.603253836,30.907897170,0.135986032286,0.150726049525,0.128843485749,0.139224762029,5405
223,30.137316756,33.254963815,28.454629801,30.718267980,0.135144918190,0.149125398274,0.127599236778,0.137750080627,5381
224,29.341172079,30.999440299,28.228960627,30.758112645,0.130987375353,0.138390358475,0.126022145656,0.137313002877,5357
225,29.501872659,34.381790933,28.170192848,31.706091846,0.131119434041,0.152807959702,0.125200857101,0.140915963761,5333
226,32.087963835,34.426473357,28.381561618,31.714258806,0.141982140863,0.152329528129,0.125582131053,0.140328578787,5309
227,31.147181233,34.430001889,38.720173946,45.276338188,0.137212252130,0.151674017133,0.170573453506,0.199455234308,5286
228,43.623576310,34.604443600,29.561017271,45.870250760,0.191331475043,0.151773875441,0.129653584521,0.201185310350,5263
229,43.095292548,41.203890902,39.617703167,44.048799085,0.188189050428,0.179929654595,0.173003070597,0.192352834432,5240
230,42.351522114,39.082535427,29.455311005,32.044461479,0.184137052668,0.169924067074,0.128066569586,0.139323745563,5217
231,36.686489607,38.939003271,29.947479800,32.511149558,0.158815972326,0.168567113728,0.129642769697,0.140740907177,5194
232,30.813513514,32.679682969,29.471031286,32.529195669,0.132816868593,0.140860702454,0.127030307268,0.140212050297,5172
233,30.972836632,36.763929334,29.630017452,33.415858860,0.132930629321,0.157785104438,0.127167456876,0.143415703262,5150
234,31.380070203,35.805068226,29.842679128,33.311137072,0.134102864115,0.153013112077,0.127532816785,0.142355286631,5128
235,31.593187157,36.026815424,30.218028940,33.213531482,0.134439094287,0.153305597548,0.128587357192,0.141334176520,5106
236,32.391005499,35.882422336,30.742144540,33.180959874,0.137250023300,0.152044162440,0.130263324324,0.140597287602,5084
237,32.375987362,35.891171242,30.737080868,33.230966469,0.136607541611,0.151439541107,0.129692324337,0.140215048394,5063
