shape,an52,bn52,u52_ns,ref_core_ns,ref_full_ns,u52_ns_per_digit_product,ref_core_ns_per_digit_product,ref_full_ns_per_digit_product
an=2bn,184,92,896.053869,1019.059103,1170.654321,0.052933239,0.060199616,0.069154910
an=2bn,186,93,915.903216,1052.660069,1196.533623,0.052948504,0.060854438,0.069171790
an=2bn,188,94,940.731250,1066.539773,1216.129006,0.053232868,0.060351956,0.068816716
an=2bn,190,95,958.958865,1079.177083,1231.365666,0.053127915,0.059788204,0.068219704
an=2bn,192,96,972.824742,1104.901103,1259.359583,0.052779120,0.059944721,0.068324630
an=2bn,194,97,998.063497,1139.794051,1292.387414,0.053037703,0.060569351,0.068678256
an=2bn,196,98,1023.711617,1149.726753,1306.336372,0.053296107,0.059856661,0.068010015
an=2bn,198,99,1035.700893,1173.781250,1334.834067,0.052836491,0.059880688,0.068096830
an=2bn,200,100,1051.024653,1190.180775,1352.879018,0.052551233,0.059509039,0.067643951
an=4bn,8,2,5.801690,15.477679,28.459237,0.362605633,0.967354957,1.778702343
an=4bn,10,3,8.963572,20.448412,33.784809,0.298785735,0.681613731,1.126160285
an=4bn,12,3,11.098267,20.345662,33.983803,0.308285183,0.565157290,0.943994528
an=4bn,14,4,12.120641,24.370947,40.876090,0.216440014,0.435195474,0.729930175
an=4bn,16,4,12.265343,24.101711,42.098268,0.191645983,0.376589236,0.657785444
an=4bn,18,5,15.474609,34.279947,52.768043,0.171940101,0.380888305,0.586311589
an=4bn,20,5,16.892905,33.695787,52.456533,0.168929054,0.336957869,0.524565331
an=4bn,22,6,19.166758,35.010164,56.376466,0.145202714,0.265228514,0.427094437
an=4bn,24,6,19.210920,34.697389,56.944122,0.133409166,0.240954087,0.395445291
an=4bn,26,7,22.094148,44.695275,69.299958,0.121396415,0.245578436,0.380769002
an=4bn,28,7,23.924160,44.902061,70.742459,0.122062038,0.229092150,0.360930911
an=4bn,30,8,27.863587,48.087279,74.041140,0.116098277,0.200363662,0.308504752
an=4bn,32,8,28.759787,55.405973,78.411450,0.112342919,0.216429583,0.306294725
an=4bn,34,9,34.409644,61.897215,88.295404,0.112449819,0.202278482,0.288547071
an=4bn,36,9,35.032826,60.249157,90.220455,0.108126006,0.185954188,0.278458193
an=4bn,38,10,38.598073,70.655638,96.909995,0.101573876,0.185935889,0.255026302
an=4bn,40,10,39.600032,67.020885,142.683226,0.099000079,0.167552214,0.356708064
an=4bn,42,11,50.124983,74.525313,110.252864,0.108495635,0.161310201,0.238642563
an=4bn,44,11,45.000180,77.537552,122.829925,0.092975578,0.160201553,0.253780836
an=4bn,46,12,50.988326,79.135338,114.713325,0.092370156,0.143361119,0.207813995
an=4bn,48,12,50.167218,79.779310,116.891267,0.087095865,0.138505747,0.202936228
an=4bn,50,13,56.679060,89.609718,124.911535,0.087198553,0.137861105,0.192171592
an=4bn,52,13,59.842494,92.082495,133.920649,0.088524399,0.136216709,0.198107469
an=4bn,54,14,62.212197,94.105598,135.007914,0.082291266,0.124478304,0.178581896
an=4bn,56,14,62.710493,98.434024,141.868949,0.079987874,0.125553602,0.180955292
an=4bn,58,15,70.969223,111.742811,156.676075,0.081573820,0.128440013,0.180087442
an=4bn,60,15,73.768219,110.724690,157.460466,0.081964688,0.123027433,0.174956073
an=4bn,62,16,74.679115,111.582045,157.872580,0.075281366,0.112481900,0.159145746
an=4bn,64,16,78.444685,118.739873,159.154661,0.076606138,0.115956908,0.155424474
an=4bn,66,17,86.141931,131.356049,180.793292,0.076775339,0.117073127,0.161134842
an=4bn,68,17,86.625260,132.262958,253.172254,0.074935346,0.114414324,0.219007140
an=4bn,70,18,111.523967,140.766235,192.216573,0.088511085,0.111719234,0.152552836
an=4bn,72,18,94.471740,140.790681,194.450699,0.072894861,0.108634785,0.150039119
an=4bn,74,19,100.063734,151.742668,302.867843,0.071169085,0.107925084,0.215410983
an=4bn,76,19,108.831352,152.580589,208.645069,0.075367972,0.105665228,0.144491045
an=4bn,78,20,111.913112,159.121239,219.285704,0.071739174,0.102000794,0.140567759
an=4bn,80,20,113.129222,161.691695,216.528946,0.070705764,0.101057310,0.135330591
an=4bn,82,21,120.060099,171.523937,234.760938,0.069721312,0.099607397,0.136330393
an=4bn,84,21,122.813114,173.121252,240.721074,0.069621946,0.098141299,0.136463194
