n,add_ns,gmp_add_ns,sub_ns,gmp_sub_ns,add_ns_per_limb,gmp_add_ns_per_limb,sub_ns_per_limb,gmp_sub_ns_per_limb,reps
35,5.147731249,7.047363509,5.066081479,7.067288902,0.147078035693,0.201353243117,0.144745185117,0.201922540053,34285
36,5.947742613,7.208014638,5.679394121,7.256502565,0.165215072580,0.200222628820,0.157760947810,0.201569515695,33333
37,5.932387853,7.445691383,5.718373262,7.450007708,0.160334806828,0.201234902237,0.154550628697,0.201351559668,32432
38,5.893501805,7.677790090,5.733897017,7.767516226,0.155092152765,0.202047107638,0.150892026761,0.204408321738,31578
39,5.979494346,7.920484825,5.752258694,7.893380561,0.153320367834,0.203089354483,0.147493812655,0.202394373356,30769
40,5.587780407,8.159601413,5.370233333,8.160022665,0.139694510183,0.203990035326,0.134255833333,0.204000566629,30000
41,5.959136258,8.379445830,5.620609539,8.316728167,0.145344786781,0.204376727562,0.137088037547,0.202847028470,29268
42,6.192070824,8.630319149,5.894060827,8.576372607,0.147430257707,0.205483789260,0.140334781587,0.204199347794,28571
43,6.463754614,8.726315035,6.312800115,8.747751944,0.150319874733,0.202937558956,0.146809304992,0.203436091710,27906
44,7.198885508,8.925902841,7.046641244,8.891483668,0.163611034271,0.202861428214,0.160150937358,0.202079174263,27272
45,7.201530038,9.081673979,7.029620187,9.035546890,0.160034000850,0.201814977313,0.156213781927,0.200789930881,26666
46,7.198129838,9.372848875,7.013531125,9.394649086,0.156481083441,0.203757584241,0.152468067944,0.204231501866,26086
47,7.199569219,9.557274329,7.018407551,9.498884060,0.153182323803,0.203346262327,0.149327820234,0.202103916163,25531
48,6.978482582,9.757058306,6.721586819,9.746210152,0.145385053794,0.203272048042,0.140033058733,0.203046044825,25000
49,7.189595329,9.927448659,6.909473254,9.900477610,0.146726435276,0.202600993037,0.141009658253,0.202050563459,24489
50,7.360731545,10.143904675,7.128348261,10.172692436,0.147214630895,0.202878093492,0.142566965216,0.203453848717,24000
51,7.468029061,10.297157184,7.192647684,10.123008286,0.146431942365,0.201905042814,0.141032307526,0.198490358540,23529
52,8.182133264,10.598613518,7.776612798,10.549204836,0.157348716616,0.203819490735,0.149550246123,0.202869323769,23076
53,8.157297417,10.809795089,7.765243499,10.587575610,0.153911272012,0.203958397910,0.146514028276,0.199765577555,22641
54,8.049813257,10.907217423,7.733645280,10.873307239,0.149070615862,0.201985507826,0.143215653339,0.201357541462,22222
55,8.111487880,11.029143564,7.711176282,10.957697420,0.147481597814,0.200529882984,0.140203205126,0.199230862176,21818
56,7.837329726,11.245519881,7.687432918,11.242592506,0.139952316530,0.200812855009,0.137275587822,0.200760580468,21428
57,8.273547713,11.548221663,7.918035901,11.416330214,0.145149959876,0.202600380052,0.138912910541,0.200286494986,21052
58,8.402300517,11.729518101,8.044075005,11.642663831,0.144867250295,0.202233070714,0.138690948359,0.200735583301,20689
59,8.670729909,11.812496927,8.334021632,11.799400167,0.146961523883,0.200211812329,0.141254603936,0.199989833342,20338
60,9.310956713,12.035348233,8.844138965,12.019344197,0.155182611883,0.200589137210,0.147402316088,0.200322403279,20000
61,9.270223577,12.253048780,8.907048839,12.254408701,0.151970878315,0.200869652139,0.146017194078,0.200891945910,19672
62,9.314808119,12.485329063,8.892515882,12.465647278,0.150238840636,0.201376275208,0.143427675523,0.201058827058,19354
